"","pollName","sampleSize","poll_id","candidate","percentage","start_day","end_day"
"1","Ifop-Fiducial*",1723,"2012_1_1","_Abstention",25,2012-04-18,2012-04-20
"2","Ifop-Fiducial*",1723,"2012_1_1","Arthaud",0.5,2012-04-18,2012-04-20
"3","Ifop-Fiducial*",1723,"2012_1_1","Poutou",1,2012-04-18,2012-04-20
"4","Ifop-Fiducial*",1723,"2012_1_1","Melenchon",13.5,2012-04-18,2012-04-20
"5","Ifop-Fiducial*",1723,"2012_1_1","Hollande",27.5,2012-04-18,2012-04-20
"6","Ifop-Fiducial*",1723,"2012_1_1","Joly",2.5,2012-04-18,2012-04-20
"7","Ifop-Fiducial*",1723,"2012_1_1","Bayrou",10,2012-04-18,2012-04-20
"8","Ifop-Fiducial*",1723,"2012_1_1","Sarkozy",27,2012-04-18,2012-04-20
"9","Ifop-Fiducial*",1723,"2012_1_1","Dupont Aignan",1.5,2012-04-18,2012-04-20
"10","Ifop-Fiducial*",1723,"2012_1_1","Le Pen",16.5,2012-04-18,2012-04-20
"11","Ifop-Fiducial*",1723,"2012_1_1","Cheminade",0,2012-04-18,2012-04-20
"12","Ifop-Fiducial",2592,"2012_1_2","Arthaud",0.5,2012-04-17,2012-04-20
"13","Ifop-Fiducial",2592,"2012_1_2","Poutou",1,2012-04-17,2012-04-20
"14","Ifop-Fiducial",2592,"2012_1_2","Melenchon",13.5,2012-04-17,2012-04-20
"15","Ifop-Fiducial",2592,"2012_1_2","Hollande",27,2012-04-17,2012-04-20
"16","Ifop-Fiducial",2592,"2012_1_2","Joly",3,2012-04-17,2012-04-20
"17","Ifop-Fiducial",2592,"2012_1_2","Bayrou",10.5,2012-04-17,2012-04-20
"18","Ifop-Fiducial",2592,"2012_1_2","Sarkozy",27,2012-04-17,2012-04-20
"19","Ifop-Fiducial",2592,"2012_1_2","Dupont Aignan",1.5,2012-04-17,2012-04-20
"20","Ifop-Fiducial",2592,"2012_1_2","Le Pen",16,2012-04-17,2012-04-20
"21","Ifop-Fiducial",2592,"2012_1_2","Cheminade",0,2012-04-17,2012-04-20
"22","BVA",2161,"2012_1_3","_Abstention",24,2012-04-18,2012-04-19
"23","BVA",2161,"2012_1_3","Arthaud",0,2012-04-18,2012-04-19
"24","BVA",2161,"2012_1_3","Poutou",1.5,2012-04-18,2012-04-19
"25","BVA",2161,"2012_1_3","Melenchon",14,2012-04-18,2012-04-19
"26","BVA",2161,"2012_1_3","Hollande",30,2012-04-18,2012-04-19
"27","BVA",2161,"2012_1_3","Joly",2,2012-04-18,2012-04-19
"28","BVA",2161,"2012_1_3","Bayrou",10,2012-04-18,2012-04-19
"29","BVA",2161,"2012_1_3","Sarkozy",26.5,2012-04-18,2012-04-19
