"","pollName","sampleSize","poll_id","candidate","percentage","start_day","end_day"
"1","BVA",631,"2002_1_1","Laguiller",8,2002-04-18,2002-04-18
"2","BVA",631,"2002_1_1","Gluckstein",0.5,2002-04-18,2002-04-18
"3","BVA",631,"2002_1_1","Besancenot",3.5,2002-04-18,2002-04-18
"4","BVA",631,"2002_1_1","Hue",5,2002-04-18,2002-04-18
"5","BVA",631,"2002_1_1","Jospin",18,2002-04-18,2002-04-18
"6","BVA",631,"2002_1_1","Taubira",2,2002-04-18,2002-04-18
"7","BVA",631,"2002_1_1","Chevenement",6,2002-04-18,2002-04-18
"8","BVA",631,"2002_1_1","Mamere",5,2002-04-18,2002-04-18
"9","BVA",631,"2002_1_1","Lepage",1,2002-04-18,2002-04-18
"10","BVA",631,"2002_1_1","Bayrou",6,2002-04-18,2002-04-18
"11","BVA",631,"2002_1_1","Chirac",19,2002-04-18,2002-04-18
"12","BVA",631,"2002_1_1","Madelin",5,2002-04-18,2002-04-18
"13","BVA",631,"2002_1_1","Boutin",1,2002-04-18,2002-04-18
"14","BVA",631,"2002_1_1","Saint Josse",4,2002-04-18,2002-04-18
"15","BVA",631,"2002_1_1","Megret",2,2002-04-18,2002-04-18
"16","BVA",631,"2002_1_1","Le Pen",14,2002-04-18,2002-04-18
"17","CSA",1000,"2002_1_2","Laguiller",7,2002-04-17,2002-04-18
"18","CSA",1000,"2002_1_2","Gluckstein",0.5,2002-04-17,2002-04-18
"19","CSA",1000,"2002_1_2","Besancenot",3,2002-04-17,2002-04-18
"20","CSA",1000,"2002_1_2","Hue",5,2002-04-17,2002-04-18
"21","CSA",1000,"2002_1_2","Jospin",18,2002-04-17,2002-04-18
"22","CSA",1000,"2002_1_2","Taubira",2.5,2002-04-17,2002-04-18
"23","CSA",1000,"2002_1_2","Chevenement",6.5,2002-04-17,2002-04-18
"24","CSA",1000,"2002_1_2","Mamere",5,2002-04-17,2002-04-18
"25","CSA",1000,"2002_1_2","Lepage",1.5,2002-04-17,2002-04-18
"26","CSA",1000,"2002_1_2","Bayrou",6,2002-04-17,2002-04-18
"27","CSA",1000,"2002_1_2","Chirac",19.5,2002-04-17,2002-04-18
"28","CSA",1000,"2002_1_2","Madelin",3.5,2002-04-17,2002-04-18
"29","CSA",1000,"2002_1_2","Boutin",1.5,2002-04-17,2002-04-18
"30","CSA",1000,"2002_1_2","Saint Josse",4,2002-04-17,2002-04-18
"31","CSA",1000,"2002_1_2","Megret",2.5,2002-04-17,2002-04-18
"32","CSA",1000,"2002_1_2","Le Pen",14,2002-04-17,2002-04-18
"33","Ipsos",989,"2002_1_3","Laguiller",7,2002-04-17,2002-04-18
"34","Ipsos",989,"2002_1_3","Gluckstein",0.5,2002-04-17,2002-04-18
"35","Ipsos",989,"2002_1_3","Besancenot",4,2002-04-17,2002-04-18
"36","Ipsos",989,"2002_1_3","Hue",5,2002-04-17,2002-04-18
"37","Ipsos",989,"2002_1_3","Jospin",18,2002-04-17,2002-04-18
"38","Ipsos",989,"2002_1_3","Taubira",1,2002-04-17,2002-04-18
"39","Ipsos",989,"2002_1_3","Chevenement",6.5,2002-04-17,2002-04-18
"40","Ipsos",989,"2002_1_3","Mamere",6.5,2002-04-17,2002-04-18
"41","Ipsos",989,"2002_1_3","Lepage",1,2002-04-17,2002-04-18
"42","Ipsos",989,"2002_1_3","Bayrou",6,2002-04-17,2002-04-18
"43","Ipsos",989,"2002_1_3","Chirac",20,2002-04-17,2002-04-18
"44","Ipsos",989,"2002_1_3","Madelin",4,2002-04-17,2002-04-18
"45","Ipsos",989,"2002_1_3","Boutin",1,2002-04-17,2002-04-18
"46","Ipsos",989,"2002_1_3","Saint Josse",3,2002-04-17,2002-04-18
"47","Ipsos",989,"2002_1_3","Megret",2.5,2002-04-17,2002-04-18
"48","Ipsos",989,"2002_1_3","Le Pen",14,2002-04-17,2002-04-18
"49","Sofres",1000,"2002_1_4","Laguiller",6.5,2002-04-17,2002-04-18
"50","Sofres",1000,"2002_1_4","Gluckstein",0.5,2002-04-17,2002-04-18
"51","Sofres",1000,"2002_1_4","Besancenot",4,2002-04-17,2002-04-18
"52","Sofres",1000,"2002_1_4","Hue",6,2002-04-17,2002-04-18
"53","Sofres",1000,"2002_1_4","Jospin",18,2002-04-17,2002-04-18
"54","Sofres",1000,"2002_1_4","Taubira",1.5,2002-04-17,2002-04-18
"55","Sofres",1000,"2002_1_4","Chevenement",6.5,2002-04-17,2002-04-18
"56","Sofres",1000,"2002_1_4","Mamere",6,2002-04-17,2002-04-18
"57","Sofres",1000,"2002_1_4","Lepage",1,2002-04-17,2002-04-18
"58","Sofres",1000,"2002_1_4","Bayrou",6,2002-04-17,2002-04-18
"59","Sofres",1000,"2002_1_4","Chirac",19.5,2002-04-17,2002-04-18
"60","Sofres",1000,"2002_1_4","Madelin",5,2002-04-17,2002-04-18
"61","Sofres",1000,"2002_1_4","Boutin",1.5,2002-04-17,2002-04-18
"62","Sofres",1000,"2002_1_4","Saint Josse",4,2002-04-17,2002-04-18
"63","Sofres",1000,"2002_1_4","Megret",1.5,2002-04-17,2002-04-18
"64","Sofres",1000,"2002_1_4","Le Pen",12.5,2002-04-17,2002-04-18
"65","Louis Harris",592,"2002_1_5","Laguiller",8,2002-04-16,2002-04-17
"66","Louis Harris",592,"2002_1_5","Gluckstein",0,2002-04-16,2002-04-17
"67","Louis Harris",592,"2002_1_5","Besancenot",2,2002-04-16,2002-04-17
"68","Louis Harris",592,"2002_1_5","Hue",5,2002-04-16,2002-04-17
"69","Louis Harris",592,"2002_1_5","Jospin",18,2002-04-16,2002-04-17
"70","Louis Harris",592,"2002_1_5","Taubira",1,2002-04-16,2002-04-17
"71","Louis Harris",592,"2002_1_5","Chevenement",6,2002-04-16,2002-04-17
"72","Louis Harris",592,"2002_1_5","Mamere",7,2002-04-16,2002-04-17
"73","Louis Harris",592,"2002_1_5","Lepage",1,2002-04-16,2002-04-17
"74","Louis Harris",592,"2002_1_5","Bayrou",7,2002-04-16,2002-04-17
"75","Louis Harris",592,"2002_1_5","Chirac",20,2002-04-16,2002-04-17
"76","Louis Harris",592,"2002_1_5","Madelin",5,2002-04-16,2002-04-17
